fid,objectid,jrstatcode,gm_code,gm_naam,water,jaar
380,380,2025GM0828,GM0828,Oss,NEE,2025
381,381,2025GM0907,GM0907,Gennep,NEE,2025
382,382,2025GM0358,GM0358,Aalsmeer,NEE,2025
384,384,2025GM0823,GM0823,Oirschot,NEE,2025
386,386,2025GM0339,GM0339,Renswoude,NEE,2025
387,387,2025GM0579,GM0579,Oegstgeest,NEE,2025
388,388,2025GM0119,GM0119,Meppel,NEE,2025
389,389,2025GM0384,GM0384,Diemen,NEE,2025
390,390,2025GM0177,GM0177,Raalte,NEE,2025
391,391,2025GM0629,GM0629,Wassenaar,NEE,2025
392,392,2025GM0402,GM0402,Hilversum,NEE,2025
393,393,2025GM0269,GM0269,Oldebroek,NEE,2025
394,394,2025GM0335,GM0335,Montfoort,NEE,2025
395,395,2025GM0957,GM0957,Roermond,NEE,2025
398,398,2025GM0252,GM0252,Heumen,NEE,2025
399,399,2025GM1859,GM1859,Berkelland,NEE,2025
400,400,2025GM0050,GM0050,Zeewolde,NEE,2025
401,401,2025GM0779,GM0779,Geertruidenberg,NEE,2025
403,403,2025GM0654,GM0654,Borsele,NEE,2025
404,404,2025GM0375,GM0375,Beverwijk,NEE,2025
406,406,2025GM0148,GM0148,Dalfsen,NEE,2025
407,407,2025GM1960,GM1960,West Betuwe,NEE,2025
409,409,2025GM0171,GM0171,Noordoostpolder,NEE,2025
410,410,2025GM0575,GM0575,Noordwijk,NEE,2025
411,411,2025GM0118,GM0118,Hoogeveen,NEE,2025
412,412,2025GM0356,GM0356,Nieuwegein,NEE,2025
413,413,2025GM0189,GM0189,Wierden,NEE,2025
414,414,2025GM0928,GM0928,Kerkrade,NEE,2025
417,417,2025GM1966,GM1966,Het Hogeland,NEE,2025
418,418,2025GM1731,GM1731,Midden-Drenthe,NEE,2025
419,419,2025GM1771,GM1771,Geldrop-Mierlo,NEE,2025
420,420,2025GM0098,GM0098,Weststellingwerf,NEE,2025
421,421,2025GM0163,GM0163,Hellendoorn,NEE,2025
422,422,2025GM0569,GM0569,Nieuwkoop,NEE,2025
423,423,2025GM0183,GM0183,Tubbergen,NEE,2025
424,424,2025GM0766,GM0766,Dongen,NEE,2025
