Carrier,Type,Sector,ID,Definition,Method/source
Hydrogen,Demand,Households,Households_combi_boiler,Hydrogen boiler demand residential buildings / households,Niet van toepassing
Hydrogen,Demand,Households,Households_hp_hybrid,Hybrid heat pump demand residential buildings / households,Alleen in HA. Volgt methaan.
Hydrogen,Demand,Industry,Industry_xxx,Hydrogen demand industry (per subsector),"Op provincieniveau op basis van: Huidige bedrijfslocaties, clusterinformatie (CES 3.0), klantprognoses."
Hydrogen,Demand,Transport,Transport,Hydrogen demand road & rail transport,O.b.v. huidige CNG‑tankstations
Hydrogen,Demand,Other demand,Other_demand,Other non‑specified hydrogen demand,O.b.v. aantal inwoners
Hydrogen,Demand,Transport,Transport_plane,Hydrogen demand aviation,Volgt elektriciteit.
Hydrogen,Demand,Transport,Transport_ship,Hydrogen demand shipping,Volgt elektriciteit.
Hydrogen,Demand,Power plants,Power_plant_hydrogen,Existing methane power plants retrofitted to hydrogen,Volgt elektriciteit
Hydrogen,Demand,Power plants,Power_plant_hydrogen_backup,New‑built hydrogen power plants (turbines) providing backup capacity,Volgt elektriciteit
Hydrogen,Supply,Hydrogen supply,Ammonia_reformer,Ammonia reformer locations,Analyse Gasunie o.b.v. huidige projecten voor waterstofimport.
Hydrogen,Supply,Hydrogen supply,Biomass_hydrogen_production,Biomass gasification locations,Niet van toepassing
Hydrogen,Supply,Hydrogen supply,Blue_hydrogen_production,Steam Methane Reformer (SMR) + CCS locations,Analyse Gasunie o.b.v. verwachte projecten
Hydrogen,Supply,Hydrogen supply,Grey_hydrogen_production,Steam Methane Reformer (SMR) locations,Niet van toepassing
Hydrogen,Supply,Hydrogen supply,LOHC,LOHC,Analyse Gasunie o.b.v. huidige projecten voor waterstofimport.
Hydrogen,Supply,Hydrogen supply,Liquid_hydrogen,Liquid hydrogen,Analyse Gasunie o.b.v. huidige projecten voor waterstofimport.
Hydrogen,Supply,Power-to-gas,Power_to_gas_onshore,Flexible power-to-gas / electrolyzers onshore,Volgt elektriciteit
Hydrogen,Supply,Hydrogen supply,Power_to_gas_solar_PV,Hydrogen supply electrolyzers connected to solar PV,Niet van toepassing
Hydrogen,Supply,Hydrogen supply,Power_to_gas_wind_offshore_dedicated,Hydrogen supply electrolyzers connected to wind offshore,"Analyse Gasunie, verdeling tussen Eemshaven en Den Helder"
Hydrogen,Supply,Hydrogen supply,Power_to_gas_wind_offshore_hybrid,Hydrogen supply electrolyzers connected to hybrid wind offshore,"Analyse Gasunie, verdeling tussen Eemshaven en Den Helder"
Hydrogen,Flexibility,Flexible hydrogen supply,Ammonia_reformer,Ammonia reformer locations,Analyse Gasunie o.b.v. huidige projecten voor waterstofimport.
Hydrogen,Flexibility,Flexible hydrogen supply,Grey_hydrogen_production,Steam Methane Reformer (SMR) locations,Niet van toepassing
Hydrogen,Flexibility,Hydrogen storage,Storage,Large scale hydrogen storage (seasonal),Gebaseerd op locaties van cavernes in NL en Duitsland (nabij de NLse grens) en de locatie van de meest kansrijke locaties voor opslag in een leeg gasveld.
Hydrogen,Exchange,Exchange,Export,Hydrogen export locations,Op basis van verwachte capaciteiten voor de grenspunten in 2035.
Hydrogen,Exchange,Exchange,Import,Hydrogen import locations,Op basis van verwachte capaciteiten voor de grenspunten in 2035.
Methane,Demand,Agriculture,Agriculture,Methane demand in agricultural sector,Huidige landbouw vraag
Methane,Demand,Agriculture,Agriculture_CHP,Methane demand CHP plants in agricultural sector,Bestaande WKK's (+ enkele concrete aanvragen)
Methane,Demand,Buildings,Buildings,"Methane demand in non-residential buildings (offices, schools, shops etc.)",Huidige methaanvraag utiliteit
Methane,Demand,Buildings,Buildings_combi_boiler,"Methane boiler demand non-residential buildings (offices, schools, shops etc.)",Huidige methaanvraag utiliteit
